Question,Answer,topic,split,Question_processed,Question_medical,Answer_processed,Answer_medical,source
What is (are) Multiple System Atrophy ?,"Multiple system atrophy (MSA) is a progressive neurodegenerative disorder characterized by symptoms of autonomic nervous system failure such as fainting spells and bladder control problems, combined with motor control symptoms such as tremor, rigidity, and loss of muscle coordination. MSA affects both men and women primarily in their 50s. Although what causes MSA is unknown, the disorder's symptoms reflect the loss of nerve cells in several different areas in the brain and spinal cord that control the autonomic nervous system and coordinate muscle movements. The loss of nerve cells may be due to the buildup of a protein called alpha-synuclein in the cells that support nerve cells in the brain.",Neurological_Disorders_Stroke,train,multiple system atrophy,what is are multiple system atrophy,multiple system atrophy msa progressive neurodegenerative disorder characterized symptom autonomic nervous system failure fainting spell bladder control problem combined motor control symptom tremor rigidity loss muscle coordination msa affect men woman primarily although cause msa unknown disorder symptom reflect loss nerve cell several different area brain spinal cord control autonomic nervous system coordinate muscle movement loss nerve cell may due buildup protein called alphasynuclein cell support nerve cell brain,multiple system atrophy msa is a progressive neurodegenerative disorder characterized by symptoms of autonomic nervous system failure such as fainting spells and bladder control problems combined with motor control symptoms such as tremor rigidity and loss of muscle coordination msa affects both men and women primarily in their 50s although what causes msa is unknown the disorders symptoms reflect the loss of nerve cells in several different areas in the brain and spinal cord that control the autonomic nervous system and coordinate muscle movements the loss of nerve cells may be due to the buildup of a protein called alpha-synuclein in the cells that support nerve cells in the brain,Neurological_Disorders_and_StrokeQA
What are the treatments for Multiple System Atrophy ?,"There is no cure for MSA. Currently, there are no treatments to delay the progress of neurodegeneration in the brain. But there are treatments available to help people cope with some of the more disabling symptoms of MSA. In some individuals, levodopa may improve motor function, but the benefit may not continue as the disease progresses.",Neurological_Disorders_Stroke,train,treatment multiple system atrophy,what are the treatments for multiple system atrophy,cure msa currently treatment delay progress neurodegeneration brain treatment available help people cope disabling symptom msa individual levodopa may improve motor function benefit may continue disease progress,there is no cure for msa currently there are no treatments to delay the progress of neurodegeneration in the brain but there are treatments available to help people cope with some of the more disabling symptoms of msa in some individuals levodopa may improve motor function but the benefit may not continue as the disease progresses,Neurological_Disorders_and_StrokeQA
What is the outlook for Multiple System Atrophy ?,"The disease tends to advance rapidly over the course of 5 to 10 years, with progressive loss of motor skills, eventual confinement to bed, and death. There is no remission from the disease. There is currently no cure.",Neurological_Disorders_Stroke,test,outlook multiple system atrophy,what is the outlook for multiple system atrophy,disease tends advance rapidly course year progressive loss motor skill eventual confinement bed death remission disease currently cure,the disease tends to advance rapidly over the course of 5 to 10 years with progressive loss of motor skills eventual confinement to bed and death there is no remission from the disease there is currently no cure,Neurological_Disorders_and_StrokeQA
what research (or clinical trials) is being done for Multiple System Atrophy ?,"The NINDS supports research about MSA through grants to major medical institutions across the country. Researchers hope to learn why alpha-synuclein buildup occurs in MSA and Parkinsons disease, and how to prevent it. Drugs that reduce the abnormal alpha-synuclein buildup may be promising treatments for MSA",Neurological_Disorders_Stroke,test,research clinical trial done multiple system atrophy,what research or clinical trials is being done for multiple system atrophy,ninds support research msa grant major medical institution across country researcher hope learn alphasynuclein buildup occurs msa parkinson disease prevent drug reduce abnormal alphasynuclein buildup may promising treatment msa,the ninds supports research about msa through grants to major medical institutions across the country researchers hope to learn why alpha-synuclein buildup occurs in msa and parkinsons disease and how to prevent it drugs that reduce the abnormal alpha-synuclein buildup may be promising treatments for msa,Neurological_Disorders_and_StrokeQA
What is (are) Neurotoxicity ?,"Neurotoxicity occurs when the exposure to natural or manmade toxic substances (neurotoxicants) alters the normal activity of the nervous system. This can eventually disrupt or even kill neurons, key cells that transmit and process signals in the brain and other parts of the nervous system. Neurotoxicity can result from exposure to substances used in chemotherapy, radiation treatment, drug therapies, and organ transplants, as well as exposure to heavy metals such as lead and mercury, certain foods and food additives, pesticides, industrial and/or cleaning solvents, cosmetics, and some naturally occurring substances. Symptoms may appear immediately after exposure or be delayed. They may include limb weakness or numbness; loss of memory, vision, and/or intellect; headache; cognitive and behavioral problems; and sexual dysfunction. Individuals with certain disorders may be especially vulnerable to neurotoxicants.",Neurological_Disorders_Stroke,train,neurotoxicity,what is are neurotoxicity,neurotoxicity occurs exposure natural manmade toxic substance neurotoxicants alters normal activity nervous system eventually disrupt even kill neuron key cell transmit process signal brain part nervous system neurotoxicity result exposure substance used chemotherapy radiation treatment drug therapy organ transplant well exposure heavy metal lead mercury certain food food additive pesticide industrial andor cleaning solvent cosmetic naturally occurring substance symptom may appear immediately exposure delayed may include limb weakness numbness loss memory vision andor intellect headache cognitive behavioral problem sexual dysfunction individual certain disorder may especially vulnerable neurotoxicants,neurotoxicity occurs when the exposure to natural or manmade toxic substances neurotoxicants alters the normal activity of the nervous system this can eventually disrupt or even kill neurons key cells that transmit and process signals in the brain and other parts of the nervous system neurotoxicity can result from exposure to substances used in chemotherapy radiation treatment drug therapies and organ transplants as well as exposure to heavy metals such as lead and mercury certain foods and food additives pesticides industrial andor cleaning solvents cosmetics and some naturally occurring substances symptoms may appear immediately after exposure or be delayed they may include limb weakness or numbness loss of memory vision andor intellect headache cognitive and behavioral problems and sexual dysfunction individuals with certain disorders may be especially vulnerable to neurotoxicants,Neurological_Disorders_and_StrokeQA
What are the treatments for Neurotoxicity ?,"Treatment involves eliminating or reducing exposure to the toxic substance, followed by symptomatic and supportive therapy.",Neurological_Disorders_Stroke,train,treatment neurotoxicity,what are the treatments for neurotoxicity,treatment involves eliminating reducing exposure toxic substance followed symptomatic supportive therapy,treatment involves eliminating or reducing exposure to the toxic substance followed by symptomatic and supportive therapy,Neurological_Disorders_and_StrokeQA
What is the outlook for Neurotoxicity ?,"The prognosis depends upon the length and degree of exposure and the severity of neurological injury. In some instances, exposure to neurotoxicants can be fatal. In others, patients may survive but not fully recover. In other situations, many individuals recover completely after treatment.",Neurological_Disorders_Stroke,train,outlook neurotoxicity,what is the outlook for neurotoxicity,prognosis depends upon length degree exposure severity neurological injury instance exposure neurotoxicants fatal others patient may survive fully recover situation many individual recover completely treatment,the prognosis depends upon the length and degree of exposure and the severity of neurological injury in some instances exposure to neurotoxicants can be fatal in others patients may survive but not fully recover in other situations many individuals recover completely after treatment,Neurological_Disorders_and_StrokeQA
what research (or clinical trials) is being done for Neurotoxicity ?,"The NINDS supports research on disorders of the brain and nervous system such as neurotoxicity, aimed at learning more about these disorders and finding ways to prevent and treat them. Scientists are investigating the role occupational or environmental toxicants have on progressive neurodegenerative disorders such as Parkinson's disease, amyotrophic lateral sclerosis, multiple sclerosis, and dementia. Also being studied are the mechanisms that trigger neuroimmune responses in the central nervous system and the possibility that some brain disorders in children may occur when environmental triggers interact with genes.",Neurological_Disorders_Stroke,train,research clinical trial done neurotoxicity,what research or clinical trials is being done for neurotoxicity,ninds support research disorder brain nervous system neurotoxicity aimed learning disorder finding way prevent treat scientist investigating role occupational environmental toxicant progressive neurodegenerative disorder parkinson disease amyotrophic lateral sclerosis multiple sclerosis dementia also studied mechanism trigger neuroimmune response central nervous system possibility brain disorder child may occur environmental trigger interact gene,the ninds supports research on disorders of the brain and nervous system such as neurotoxicity aimed at learning more about these disorders and finding ways to prevent and treat them scientists are investigating the role occupational or environmental toxicants have on progressive neurodegenerative disorders such as parkinsons disease amyotrophic lateral sclerosis multiple sclerosis and dementia also being studied are the mechanisms that trigger neuroimmune responses in the central nervous system and the possibility that some brain disorders in children may occur when environmental triggers interact with genes,Neurological_Disorders_and_StrokeQA
What is (are) Chiari Malformation ?,"Chiari malformations (CMs) are structural defects in the cerebellum, the part of the brain that controls balance. When the indented bony space at the lower rear of the skull is smaller than normal, the cerebellum and brain stem can be pushed downward. The resulting pressure on the cerebellum can block the flow of cerebrospinal fluid (the liquid that surrounds and protects the brain and spinal cord) and can cause a range of symptoms including dizziness, muscle weakness, numbness, vision problems, headache, and problems with balance and coordination. Symptoms may change for some individuals depending on buildup of CNS and any resulting pressure on tissue and nerves. CMs are classified by the severity of the disorder and the parts of the brain that protrude into the spinal canal. The most common is Type I, which may not cause symptoms and is often found by accident during an examination for another condition. Type II (also called Arnold-Chiari malformation) is usually accompanied by a myelomeningocele-a form of spina bifida that occurs when the spinal canal and backbone do not close before birth, causing the spinal cord to protrude through an opening in the back. This can cause partial or complete paralysis below the spinal opening. Type III is the most serious form of CM, and causes severe neurological defects. Other conditions sometimes associated with CM include hydrocephalus, syringomyelia (a fluid-filled cyst in the spinal cord), and spinal curvature.",Neurological_Disorders_Stroke,train,chiari malformation,what is are chiari malformation,chiari malformation cm structural defect cerebellum part brain control balance indented bony space lower rear skull smaller normal cerebellum brain stem pushed downward resulting pressure cerebellum block flow cerebrospinal fluid liquid surround protects brain spinal cord cause range symptom including dizziness muscle weakness numbness vision problem headache problem balance coordination symptom may change individual depending buildup cns resulting pressure tissue nerve cm classified severity disorder part brain protrude spinal canal common type may cause symptom often found accident examination another condition type also called arnoldchiari malformation usually accompanied myelomeningocelea form spina bifida occurs spinal canal backbone close birth causing spinal cord protrude opening back cause partial complete paralysis spinal opening type iii serious form cause severe neurological defect condition sometimes associated include hydrocephalus syringomyelia fluidfilled cyst spinal cord spinal curvature,chiari malformations cms are structural defects in the cerebellum the part of the brain that controls balance when the indented bony space at the lower rear of the skull is smaller than normal the cerebellum and brain stem can be pushed downward the resulting pressure on the cerebellum can block the flow of cerebrospinal fluid the liquid that surrounds and protects the brain and spinal cord and can cause a range of symptoms including dizziness muscle weakness numbness vision problems headache and problems with balance and coordination symptoms may change for some individuals depending on buildup of cns and any resulting pressure on tissue and nerves cms are classified by the severity of the disorder and the parts of the brain that protrude into the spinal canal the most common is type i which may not cause symptoms and is often found by accident during an examination for another condition type ii also called arnold-chiari malformation is usually accompanied by a myelomeningocele-a form of spina bifida that occurs when the spinal canal and backbone do not close before birth causing the spinal cord to protrude through an opening in the back this can cause partial or complete paralysis below the spinal opening type iii is the most serious form of cm and causes severe neurological defects other conditions sometimes associated with cm include hydrocephalus syringomyelia a fluid-filled cyst in the spinal cord and spinal curvature,Neurological_Disorders_and_StrokeQA
What are the treatments for Chiari Malformation ?,"Medications may ease certain symptoms, such as pain. Surgery is the only treatment available to correct functional disturbances or halt the progression of damage to the central nervous system. More than one surgery may be needed to treat the condition. Some CMs have no noticeable symptoms and do not interfere with the person's activities of daily living.",Neurological_Disorders_Stroke,train,treatment chiari malformation,what are the treatments for chiari malformation,medication may ease certain symptom pain surgery treatment available correct functional disturbance halt progression damage central nervous system one surgery may needed treat condition cm noticeable symptom interfere person activity daily living,medications may ease certain symptoms such as pain surgery is the only treatment available to correct functional disturbances or halt the progression of damage to the central nervous system more than one surgery may be needed to treat the condition some cms have no noticeable symptoms and do not interfere with the persons activities of daily living,Neurological_Disorders_and_StrokeQA
